sidoNm,firstCnt,firstTot,secondCnt,secondTot,thirdCnt,thirdTot,fourCnt,fourTot,winCnt,winTot,vrate,wrate,frate
서울특별시,64,8335116,46,8257713,90.5,6089514,52,1273729,15115,750084,89.6%,8.6%,90.5%
부산광역시,10,2879716,22,2851257,88.2,2144195,39,504859,6344,273150,87.4%,8.9%,88.2%
대구광역시,11,2018399,10,1995608,86.9,1407036,7,268088,4701,153378,85.9%,7%,86.9%
인천광역시,22,2576176,13,2551952,90.1,1919552,13,410449,4056,206777,89.2%,7.7%,90.1%
광주광역시,8,1261992,6,1250613,90,969697,10,242385,2484,117375,89.2%,9%,90%
대전광역시,9,1245658,5,1233523,88.2,910283,4,198975,2504,112562,87.3%,8.5%,88.2%
울산광역시,4,968173,4,958938,88.8,721377,4,139501,1381,66649,88%,6.6%,88.8%
세종특별자치시,0,300841,2,297124,84.5,211536,3,35880,458,22756,83.5%,7.1%,84.5%
경기도,62,11842597,45,11728883,90.1,8726079,33,1751975,20158,950980,89.3%,7.8%,90.1%
강원도,8,1352994,9,1341747,90.3,1066744,4,277647,3516,139241,89.5%,9.8%,90.3%
충청북도,8,1431183,11,1418774,92.1,1109484,13,284941,3724,153986,91.3%,10.5%,92.1%
충청남도,9,1903625,12,1886212,92.4,1482260,9,378018,5744,205036,91.5%,10.6%,92.4%
전라북도,6,1594308,13,1581474,91.4,1286787,9,378765,4824,208229,90.6%,12.7%,91.4%
전라남도,6,1655877,11,1641612,92.6,1365941,9,452298,4444,231985,91.8%,13.8%,92.6%
경상북도,17,2293667,14,2269985,89.5,1729148,11,407211,6868,231972,88.6%,9.6%,89.5%
경상남도,7,2883349,22,2854328,89.3,2148150,13,499316,5492,234045,88.4%,7.8%,89.3%
제주특별자치도,6,591494,3,585861,90.3,440028,2,95307,1489,53585,89.4%,8.8%,90.3%
