행사명,장소,행사내용,행사시작일자,행사종료일자,행사시작시각,행사종료시각,요금정보,주관기관,주최기관,전화번호,후원기관,객석수,관람요금,입장연령,할인정보,유의사항,홈페이지주소,예매정보,주차장보유여부,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
12월 기획연주회 크리스마스에는 축복을,성남아트센터 콘서트홀,공연,2021-12-21,2021-12-21,19:30,23:59,유료,성남시립합창단,성남시립합창단,031-729-4807,,984,전석 5000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
2022년 신년음악회,성남아트센터 콘서트홀,공연,2022-01-20,2022-01-20,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
2월 기획연주회,성남아트센터 콘서트홀,공연,2022-02-10,2022-02-10,19:30,23:59,유료,성남시립합창단,성남시립합창단,031-729-4807,,984,전석 5000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제183회 정기연주회,성남아트센터 콘서트홀,공연,2022-02-16,2022-02-16,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제65회 정기연주회,성남아트센터 콘서트홀,공연,2022-03-25,2022-03-25,19:30,23:59,유료,성남시립국악단,성남시립국악단,031-729-4810,,984,전석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제184회 정기연주회,성남아트센터 콘서트홀,공연,2022-04-01,2022-04-01,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제57회 정기연주회,성남아트리움 대극장,공연,2022-04-17,2022-04-17,15:30,18:00,무료,성남시립소년소녀합창단,성남시립소년소녀합창단,031-729-4808,,656,,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
제185회 정기연주회,성남아트센터 콘서트홀,공연,2022-04-28,2022-04-28,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
특별연주회 금난새의 영화이야기,성남아트센터 콘서트홀,공연,2022-05-11,2022-05-11,19:30,23:59,유료,성남시립교향악단,성남시립교향악단,031-729-4809,,984,R석 20000원+S석 15000원+A석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
5월 기획연주회 Virtuoso(거장),성남아트센터 콘서트홀,공연,2022-05-12,2022-05-12,19:30,23:59,유료,성남시립국악단,성남시립국악단,031-729-4810,,984,전석 10000원,제한없음,시립예술단·성남아트센터 회원·예술인패스 소지자 30프로 할인+장애인 1~3급(동반 1인까지) 50프로 할인+장애인 4급 이상(본인) 50프로 할인+국가보훈유공자(동반 1인까지 50프로 할인)+유족 본인 50프로 할인+성남시 병역명문가 50프로 할인+단체 5인 이상 50프로 할인+어린이·청소년·65세 이상 50프로 할인,코로나19 방역수칙 준수+관람 수칙 준수,www.snart.or.kr/,http://www.interpark.com,Y,경기도 성남시 분당구 성남대로 808,경기도 성남시 분당구 야탑동 757,37.40295613,127.1305583,2022-07-26,3780000,경기도 성남시
