Postal,Beer,Wine,Clusters
AL,1.2,0.22,3
AK,1.31,0.54,7
AZ,1.19,0.38,0
AR,1.07,0.17,3
CA,1.05,0.55,2
CO,1.22,0.46,0
CT,0.89,0.59,2
DE,1.31,0.57,7
FL,1.26,1.0,4
GA,1.21,0.48,0
HI,1.08,0.25,3
ID,1.3,0.53,7
IL,1.05,0.92,4
IN,1.22,0.39,0
IA,1.09,0.25,3
KS,1.42,0.18,8
KY,1.18,0.14,3
LA,1.11,0.18,3
ME,1.5,0.28,8
MD,1.24,0.42,0
MA,0.97,0.37,2
MI,1.02,0.61,2
MN,1.1,0.31,3
MS,1.19,0.37,0
MO,1.41,0.11,8
MT,1.3,0.3,1
NE,1.66,0.45,5
NV,1.46,0.2,8
NH,1.57,0.58,5
NJ,1.72,0.84,5
NM,0.92,0.57,2
NY,1.37,0.32,1
NC,0.91,0.46,2
ND,1.1,0.34,0
OH,1.63,0.25,8
OK,1.28,0.26,1
OR,1.18,0.18,3
PA,1.28,0.49,7
RI,1.35,0.23,1
SC,1.1,0.53,2
SD,1.36,0.24,1
TN,1.53,0.22,8
TX,1.05,0.21,3
UT,1.42,0.28,1
VT,0.7,0.17,6
VA,1.36,0.63,7
WA,1.11,0.43,0
WV,1.09,0.51,2
WI,1.24,0.1,3
WY,1.49,0.31,8
WY,1.45,0.22,8
