방문팀,방문팀점수,홈팀,홈팀점수,방문팀휴식일,홈팀휴식일
Boston Celtics,99,Cleveland Cavaliers,102,0.0,0.0
Houston Rockets,122,Golden State Warriors,121,0.0,0.0
Charlotte Hornets,90,Detroit Pistons,102,0.0,0.0
Brooklyn Nets,131,Indiana Pacers,140,0.0,0.0
Miami Heat,109,Orlando Magic,116,0.0,0.0
Philadelphia 76ers,115,Washington Wizards,120,0.0,0.0
Milwaukee Bucks,108,Boston Celtics,100,0.0,0.0
New Orleans Pelicans,91,Memphis Grizzlies,103,0.0,0.0
Atlanta Hawks,117,Dallas Mavericks,111,0.0,0.0
Denver Nuggets,96,Utah Jazz,106,0.0,0.0
Minnesota Timberwolves,99,San Antonio Spurs,107,0.0,0.0
Portland Trail Blazers,124,Phoenix Suns,76,0.0,0.0
Houston Rockets,105,Sacramento Kings,100,0.0,0.0
Chicago Bulls,100,Toronto Raptors,117,0.0,0.0
New York Knicks,84,Oklahoma City Thunder,105,0.0,0.0
Los Angeles Clippers,108,Los Angeles Lakers,92,0.0,0.0
Atlanta Hawks,91,Charlotte Hornets,109,1.0,1.0
Portland Trail Blazers,114,Indiana Pacers,96,1.0,1.0
Cleveland Cavaliers,116,Milwaukee Bucks,97,2.0,1.0
Boston Celtics,102,Philadelphia 76ers,92,1.0,1.0
Detroit Pistons,111,Washington Wizards,115,1.0,1.0
Orlando Magic,121,Brooklyn Nets,126,1.0,1.0
Utah Jazz,97,Minnesota Timberwolves,100,1.0,1.0
Sacramento Kings,93,Dallas Mavericks,88,1.0,1.0
Golden State Warriors,128,New Orleans Pelicans,120,2.0,1.0
Los Angeles Lakers,132,Phoenix Suns,130,0.0,1.0
Philadelphia 76ers,94,Toronto Raptors,128,0.0,1.0
San Antonio Spurs,87,Chicago Bulls,77,2.0,1.0
Orlando Magic,114,Cleveland Cavaliers,93,0.0,0.0
Dallas Mavericks,91,Houston Rockets,107,0.0,2.0
Golden State Warriors,101,Memphis Grizzlies,111,0.0,2.0
Indiana Pacers,108,Miami Heat,112,0.0,2.0
Detroit Pistons,111,New York Knicks,107,0.0,1.0
Portland Trail Blazers,110,Milwaukee Bucks,113,0.0,0.0
Sacramento Kings,79,Denver Nuggets,96,0.0,2.0
Oklahoma City Thunder,87,Utah Jazz,96,1.0,0.0
Phoenix Suns,88,Los Angeles Clippers,130,0.0,1.0
Atlanta Hawks,104,Brooklyn Nets,116,1.0,1.0
Minnesota Timberwolves,115,Oklahoma City Thunder,113,1.0,0.0
New Orleans Pelicans,119,Los Angeles Lakers,112,1.0,1.0
Philadelphia 76ers,97,Detroit Pistons,86,1.0,1.0
Atlanta Hawks,93,Miami Heat,104,0.0,1.0
Memphis Grizzlies,98,Houston Rockets,90,1.0,1.0
Charlotte Hornets,94,Milwaukee Bucks,103,2.0,1.0
Golden State Warriors,133,Dallas Mavericks,103,1.0,1.0
Toronto Raptors,97,San Antonio Spurs,101,1.0,1.0
Washington Wizards,109,Denver Nuggets,104,2.0,1.0
Sacramento Kings,115,Phoenix Suns,117,1.0,1.0
Chicago Bulls,112,Cleveland Cavaliers,119,2.0,2.0
Brooklyn Nets,121,Orlando Magic,125,1.0,2.0
New York Knicks,89,Boston Celtics,110,2.0,3.0
Indiana Pacers,130,Minnesota Timberwolves,107,2.0,1.0
New Orleans Pelicans,93,Portland Trail Blazers,103,1.0,2.0
Utah Jazz,84,Los Angeles Clippers,102,2.0,2.0
Denver Nuggets,93,Charlotte Hornets,110,1.0,1.0
Minnesota Timberwolves,101,Detroit Pistons,122,0.0,1.0
Houston Rockets,105,Philadelphia 76ers,104,1.0,1.0
Cleveland Cavaliers,107,Brooklyn Nets,112,0.0,0.0
San Antonio Spurs,117,Miami Heat,100,1.0,1.0
Indiana Pacers,96,Oklahoma City Thunder,114,0.0,2.0
Memphis Grizzlies,94,Dallas Mavericks,103,1.0,1.0
Utah Jazz,88,Phoenix Suns,97,0.0,1.0
Toronto Raptors,112,Golden State Warriors,117,1.0,1.0
Washington Wizards,99,Los Angeles Lakers,102,1.0,2.0
Atlanta Hawks,86,Chicago Bulls,91,2.0,1.0
Dallas Mavericks,91,Memphis Grizzlies,96,0.0,0.0
Boston Celtics,96,Milwaukee Bucks,89,1.0,2.0
Los Angeles Clippers,104,Portland Trail Blazers,103,1.0,1.0
New Orleans Pelicans,114,Sacramento Kings,106,1.0,2.0
Houston Rockets,109,Charlotte Hornets,93,1.0,1.0
San Antonio Spurs,87,Orlando Magic,114,1.0,2.0
Denver Nuggets,105,Atlanta Hawks,100,1.0,0.0
Brooklyn Nets,86,New York Knicks,107,1.0,2.0
Oklahoma City Thunder,116,Minnesota Timberwolves,119,1.0,1.0
Washington Wizards,117,Golden State Warriors,120,1.0,1.0
Toronto Raptors,101,Los Angeles Lakers,92,1.0,1.0
Cleveland Cavaliers,101,New Orleans Pelicans,123,2.0,1.0
Oklahoma City Thunder,101,Chicago Bulls,69,0.0,1.0
Houston Rockets,89,Memphis Grizzlies,103,0.0,1.0
Boston Celtics,96,Miami Heat,90,1.0,2.0
Philadelphia 76ers,112,Dallas Mavericks,110,2.0,1.0
Los Angeles Lakers,81,Utah Jazz,96,0.0,2.0
Phoenix Suns,107,Portland Trail Blazers,114,2.0,1.0
Detroit Pistons,95,Los Angeles Clippers,87,2.0,1.0
Milwaukee Bucks,117,Atlanta Hawks,106,2.0,1.0
San Antonio Spurs,94,Indiana Pacers,97,1.0,3.0
Denver Nuggets,124,Brooklyn Nets,111,1.0,1.0
Orlando Magic,113,Charlotte Hornets,120,1.0,1.0
Washington Wizards,110,Sacramento Kings,83,1.0,2.0
New York Knicks,114,Cleveland Cavaliers,95,1.0,0.0
Detroit Pistons,115,Golden State Warriors,107,0.0,1.0
San Antonio Spurs,94,Boston Celtics,108,0.0,1.0
Minnesota Timberwolves,125,Miami Heat,122,2.0,1.0
Denver Nuggets,110,New York Knicks,116,0.0,0.0
Philadelphia 76ers,115,Houston Rockets,107,1.0,1.0
Charlotte Hornets,104,Memphis Grizzlies,99,0.0,1.0
Orlando Magic,115,New Orleans Pelicans,99,0.0,1.0
Dallas Mavericks,89,Utah Jazz,104,1.0,1.0
Toronto Raptors,99,Portland Trail Blazers,85,2.0,1.0
Golden State Warriors,141,Los Angeles Clippers,113,0.0,1.0
Sacramento Kings,83,Indiana Pacers,101,1.0,1.0
Phoenix Suns,122,Brooklyn Nets,114,2.0,1.0
Oklahoma City Thunder,110,Milwaukee Bucks,91,2.0,1.0
Detroit Pistons,93,Los Angeles Lakers,113,1.0,2.0
